longitude,latitude
103.66666666666669,1.1822222222222225
82.4,17.05
69.95,22.65222222222222
107.16666666666669,20.7
98.78333333333332,3.950277777777778
107.01666666666668,10.234166666666669
107.29972222222224,20.94
119.83333333333331,5.95
70.03333333333333,22.766666666666666
114.41666666666669,-3.718055555555555
69.91666666666667,22.616666666666667
107.16666666666669,20.6875
107.15,20.716666666666665
70.06666666666666,22.816666666666663
69.98333333333333,22.766666666666666
69.98333333333333,22.76805555555556
104.15,0.7333333333333333
83.4,17.65
70.0333333333333,22.78333333333333
70.12666666666667,22.816666666666663
70.0,22.78333333333333
70.0,22.766666666666666
88.09944444444398,22.030555555556
72.26666666666667,21.23444444444445
106.8743133544922,-6.105692975365593
39.66361111111098,-4.0769444444444
106.87225341797,-5.8974567569002
119.20638888888892,4.815555555555555
106.89999999999998,-6.0
118.93777777777996,4.1322222222222
117.56888888888886,-0.25
106.90968750000002,-5.995623264496427
110.36666666666667,-6.9
119.0,4.5166666666667
104.4666666666667,1.3833333333333333
104.86666666666667,1.5
98.75,3.9333333333333336
49.13555555555604,14.418888888889
103.9333333333334,1.15
83.41666666666674,17.583333333333332
39.66354131698608,-4.076710735906138
117.66666666666674,-0.25
116.86666666666667,-1.3333333333333333
108.65750000000004,-2.08
109.60000000000002,3.333333333333333
83.36666666666667,17.616666666666667
107.07361111111004,10.185277777778
70.22310396830244,23.034034350374537
91.75,22.1
50.9666666666667,14.75
117.5666666666666,-0.2333333333333333
103.95000000000005,1.1833333333333331
103.9666666666667,1.1666666666666667
31.038034558296204,-29.886578673340505
112.58722222222218,3.123333333333333
91.73333333333336,22.133333333333333
103.95000000000005,1.1666666666666667
101.48436095767556,1.6879352738772322
101.5102777777778,1.6958333333333333
116.79999999999995,-1.4666666666666668
105.16666666666674,3.0
88.07035446166992,22.01579295567607
117.61750000000006,-0.2513888888888889
114.45511881510424,-3.664146767055691
117.66777777777996,-0.28472222222222
105.3369444444445,2.9166666666666665
117.57527777778,-0.23
101.3983154296875,1.7232203737409166
107.01666666667006,10.266666666667
107.01666666666664,10.26388888888889
104.86916666666662,2.0025
103.86666666666667,1.1833333333333331
34.82934236526489,-19.799716228812517
101.43333333332998,1.7216666666667
101.495,1.6966666666666668
101.3844276746114,1.7315746085074968
91.68388888888887,22.218055555555555
104.1680555555556,0.7180555555555556
109.0666666666666,-7.766666666666667
107.01666666666664,10.250833333333333
105.28416666666668,-5.485277777777778
105.2833333333333,-5.483333333333333
101.48416666666662,1.7013888888888888
107.0636111111112,10.267222222222223
101.48111111111008,1.7125
119.54999999999995,4.541666666666667
53.370000000000005,4.4666666666667
112.5,4.135555555555555
107.05416666666996,10.390555555556
106.8891666666666,-6.0377777777777775
101.5005555555556,1.6847222222222222
119.85166666666998,3.6677777777778
104.68472222222,1.4338888888889
117.5666666666666,-0.25
118.77277777777772,4.820833333333333
114.41666666666993,-3.6833333333333
107.0,10.25
119.88555555555558,6.351388888888889
103.65083333333337,1.2027777777777775
109.0727777777778,-7.771388888888889
118.5,-3.6666666666666665
104.16666666666674,1.0858333333333334
117.58583333333002,-0.24416666666667
117.65250000000005,-0.2852777777777801
104.05111111111,1.2502777777778
117.5666666666666,-0.2505555555555555
91.73444444444442,22.101666666666667
